,Agency,Population,Real Violent Crime Total,Real Violent Crime Rate,Property crime total,Property crime rate,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Violent crime total,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
89,South Lake Minnetonka Police Dept,11992.0,16,133.422281521014,120,1000.7,,8.3,,75.1,0.0,50.0,,166.8,767.2,66.7
90,South St Paul Police Dept,20484.0,88,429.60359304823277,522,2548.3,,0.0,,73.2,43.9,312.4,,429.6,1845.3,273.4
91,St. Cloud Police Dept,65977.0,250,378.9199266411022,2842,4307.6,,1.5,,84.9,69.7,222.8,,562.3,3498.2,247.1
92,St. Louis County Sheriff Office,,73,,819,,,,,,,,,,,
93,City Of St Louis Park Police Dept,46723.0,68,145.53859983305867,1288,2756.7,,2.1,,10.7,53.5,79.2,,402.4,2219.5,134.8
94,St. Paul Police Dept,294690.0,2200,746.5472191116088,10973,3723.6,746.5,4.8,,74.0,243.0,424.9,2200.0,939.6,2186.4,597.6
95,St. Peter Police Dept,11506.0,22,191.20458891013385,237,2059.8,,8.7,,43.5,17.4,121.7,,312.9,1660.0,86.9
96,Stearns County Sheriff Office,,23,,358,,,,,,,,,,,
97,Stillwater Police Dept,18631.0,16,85.87837475175782,320,1717.6,,0.0,,32.2,21.5,32.2,,241.5,1406.3,69.8
98,Vadnais Heights,12911.0,17,131.67066842227558,294,2277.1,,0.0,,38.7,38.7,54.2,,216.9,1812.4,247.9
99,Wash County Sheriff Office,,32,,807,,,,,,,,,,,
100,West St Paul Police Dept,19761.0,84,425.0797024442083,962,4868.2,,5.1,,55.7,81.0,283.4,,318.8,4331.8,217.6
101,White Bear Lake Police Dept,24472.0,44,179.79731938542008,652,2664.3,,0.0,,32.7,28.6,118.5,,523.0,2022.7,118.5
102,Willmar Police Dept,19691.0,42,213.2954141485958,579,2940.4,,0.0,,40.6,35.5,137.1,,274.2,2544.3,121.9
103,Winona Police Dept,28077.0,30,106.84902233144565,396,1410.4,,0.0,,7.1,14.2,85.5,,267.1,1061.4,81.9
104,Woodbury Police Dept,65259.0,21,32.17946949845998,1386,2123.8,,0.0,,0.0,10.7,21.5,,282.0,1786.7,55.2
105,Worthington Police Dept,12903.0,25,193.75339068433698,159,1232.3,,0.0,,31.0,15.5,147.3,,232.5,953.3,46.5
106,Wright County Sheriff Department,,65,,1610,,,,,,,,,,,
