,District Number,School Number,School Name,Demographic Description,Ending Status,Four Year Percent,Four Year Total,Physical Line 1,Physical City,Physical State,Physical Zip,Latitude,Longitude
713,4085,10,HARBOR CITY INTERNATIONAL CHARTER,All Students,Graduate,83.72,43.0,332 W Michigan St Ste.300,Duluth,MN,55802-1610,46.7829219,-92.10211369999999
714,4085,10,HARBOR CITY INTERNATIONAL CHARTER,All Students,Graduate,83.72,43.0,332 W Michigan Street Ste 300,Duluth,MN,55802-1610,46.7829219,-92.10211369999999
715,4087,10,SAGE ACADEMY CHARTER SCHOOL,All Students,Graduate,42.86,21.0,3900 85th Ave N,Brooklyn Park,MN,55443-1908,45.1093904,-93.3319018
717,4091,10,ARCADIA CHARTER SCHOOL,All Students,Graduate,100.0,17.0,1719 Cannon Rd,Northfield,MN,55057-1680,44.4395879,-93.18494830000002
718,4091,10,ARCADIA CHARTER SCHOOL,All Students,Graduate,100.0,17.0,1719 Cannon Rd,Northfield,MN,55057,44.4395879,-93.18494830000002
719,4092,10,WATERSHED HIGH SCHOOL,All Students,Graduate,0.0,15.0,6541 16th Ave So,Richfield,MN,55423,44.884201,-93.2513
720,4092,10,WATERSHED HIGH SCHOOL,All Students,Graduate,0.0,15.0,6541 16th Ave S,Richfield,MN,55423,44.884201,-93.2513
721,4093,10,NEW CENTURY ACADEMY,All Students,Graduate,50.0,36.0,950 School Road SW,Hutchinson,MN,55350-7028,44.8787769,-94.39738779999999
722,4093,10,NEW CENTURY ACADEMY,All Students,Graduate,50.0,36.0,1000 5th Ave SE,Hutchinson,MN,55350-7028,44.8862715,-94.3529002
723,4095,10,TRIO WOLF CREEK DISTANCE LEARNING,All Students,Graduate,45.33,75.0,10363 Liberty Ln,Chisago City,MN,55013-9542,45.3771257,-92.89616889999999
724,4095,10,TRIO WOLF CREEK DISTANCE LEARNING,All Students,Graduate,45.33,75.0,10363 Liberty Ln,Chisago City,MN,55013,45.3771257,-92.89616889999999
725,4098,20,NOVA CLASSICAL ACADEMY UPPER SCHOOL,All Students,Graduate,90.77,65.0,1455 Victoria Way,Saint Paul,MN,55102,44.9178928,-93.13726869999999
726,4102,10,RONDO CAMPUS,All Students,Graduate,23.08,78.0,1821 University Ave W,Saint Paul,MN,55104,44.9566844,-93.17632069999999
727,4102,15,UNITY CAMPUS,All Students,Graduate,20.0,55.0,2507 Fremont Ave N,Minneapolis,MN,55411-1529,45.0050938,-93.2961237
728,4102,20,DOWNTOWN CAMPUS,All Students,Graduate,16.28,43.0,511 Groveland Ave,Minneapolis,MN,55403-3223,44.9662927,-93.2876514
729,4102,55,SABATHANI CAMPUS,All Students,Graduate,5.88,34.0,2201 Girard Ave North,Minneapolis,MN,55409,45.0019046,-93.29786949999999
730,4103,10,HMONG COLLEGE PREP ACADEMY HS,All Students,Graduate,85.48,124.0,1515 Brewster St,Saint Paul,MN,55108,44.9751627,-93.1642802
731,4104,10,PALADIN CAREER AND TECHNICAL HIGH SCHOOL,All Students,Graduate,29.03,62.0,308 Northtown Dr,Blaine,MN,55434-1039,45.12631,-93.260723
732,4104,10,PALADIN CAREER AND TECHNICAL HIGH SCHOOL,All Students,Graduate,29.03,62.0,308 Northtown Dr,Blaine,MN,55434,45.12631,-93.260723
733,4105,10,GREAT RIVER SCHOOL,All Students,Graduate,80.0,50.0,1326 Energy Park Dr,Saint Paul,MN,55108-5202,44.9701706,-93.1552598
734,4105,10,GREAT RIVER SCHOOL,All Students,Graduate,80.0,50.0,1326 Energy Park Dr,Saint Paul,MN,55108,44.9701706,-93.1552598
735,4106,10,TREKNORTH HIGH SCHOOL,All Students,Graduate,82.86,35.0,2400 Pine Ridge Avenue NW,Bemidji,MN,56601-2110,47.492203,-94.90074399999999
736,4106,10,TREKNORTH HIGH SCHOOL,All Students,Graduate,82.86,35.0,2400 Pine Ridge Avenue NW,Bemidji,MN,56601,47.492203,-94.90074399999999
737,4107,10,VOYAGEURS EXPEDITIONARY SCHOOL,All Students,Graduate,72.73,11.0,3724 Bemidji Ave N,Bemidji,MN,56601-4335,47.5045706,-94.87472179999999
738,4110,10,PIM ARTS HIGH SCHOOL,All Students,Graduate,78.65,89.0,7255 Flying Cloud Drive,Eden Prairie,MN,55344,44.8717599,-93.4111969
740,4111,10,AUGSBURG FAIRVIEW ACADEMY,All Students,Graduate,25.0,28.0,2504 Columbus Ave,Minneapolis,MN,55404-4432,44.9569461,-93.26413889999999
741,4111,10,AUGSBURG FAIRVIEW ACADEMY,All Students,Graduate,25.0,28.0,2504 Columbus Ave,Minneapolis,MN,55404,44.9569461,-93.26413889999999
742,4112,10,ST PAUL CONSERVATORY PERFORMING ART,All Students,Graduate,89.86,138.0,16 W 5th Street,Saint Paul,MN,55102-1403,44.9450997,-93.09515669999999
747,4119,10,ACADEMIC ARTS HIGH SCHOOL,All Students,Graduate,51.85,27.0,"60 E Marie Ave, Ste #220",West Saint Paul,MN,55118-5932,44.8903522,-93.0824324
748,4119,10,ACADEMIC ARTS HIGH SCHOOL,All Students,Graduate,51.85,27.0,"60 E Marie Ave, Ste #220",West Saint Paul,MN,55118,44.8903522,-93.0824324
756,4120,30,ST. CROIX PREPARATORY ACADEMY UPPER,All Students,Graduate,94.25,87.0,4260 Stagecoach Tr N,Stillwater,MN,55082,45.012025,-92.79666399999999
757,4121,10,UBAH MEDICAL ACADEMY CHARTER SCHOOL,All Students,Graduate,93.02,86.0,1600 Main St,Hopkins,MN,55343-7409,44.9019949,-93.42964459999999
759,4122,10,EAGLE RIDGE ACADEMY CHARTER SCHOOL,All Students,Graduate,94.12,51.0,11111 Bren Road West,Minnetonka,MN,55343,44.90066729999999,-93.41897519999999
760,4122,10,EAGLE RIDGE ACADEMY CHARTER SCHOOL,All Students,Graduate,94.12,51.0,7255 Flying Cloud Dr,Eden Prairie,MN,55344,44.8717599,-93.4111969
761,4126,40,PRAIRIE SEEDS HIGH SCHOOL ACADEMY,All Students,Graduate,86.27,51.0,6200 W. Broadway Ave. N.,Brooklyn Park,MN,55428,45.0662683,-93.3736821
763,4131,10,METRO SCHOOLS CHARTER,All Students,Graduate,71.43,49.0,2600 26th Ave S,Minneapolis,MN,55406-4527,44.9550542,-93.2353213
764,4131,10,METRO SCHOOLS CHARTER,All Students,Graduate,71.43,49.0,620 Olson Memorial Hwy,Minneapolis,MN,55411,44.9850194,-93.2866054
765,4132,10,TWIN CITIES ACADEMY,All Students,Graduate,87.1,62.0,690 Birmingham,Saint Paul,MN,55106-5199,44.9622658,-93.03778299999999
766,4132,10,TWIN CITIES ACADEMY,All Students,Graduate,87.1,62.0,690 Birmingham,Saint Paul,MN,55106,44.9622658,-93.03778299999999
767,4146,10,NORTHERN LIGHTS COMMUNITY SCHOOL,All Students,Graduate,77.27,22.0,305 Bridge St,Warba,MN,55793-2829,47.1284099,-93.27026269999999
768,4146,10,NORTHERN LIGHTS COMMUNITY SCHOOL,All Students,Graduate,77.27,22.0,305 Bridge St,Warba,MN,55793,47.1284099,-93.27026269999999
769,4150,10,MINNESOTA ONLINE HIGH SCHOOL,All Students,Graduate,31.4,86.0,2314 University Ave W Ste 10,Saint Paul,MN,55114-1863,44.96252579999999,-93.19550799999999
771,4151,10,EDVISIONS OFF CAMPUS SCHOOL,All Students,Graduate,51.72,29.0,501 Main St,Henderson,MN,56044-7709,44.52810770000001,-93.90714700000001
772,4151,10,EDVISIONS OFF CAMPUS SCHOOL,All Students,Graduate,51.72,29.0,501 Main St,Henderson,MN,56044,44.52810770000001,-93.90714700000001
