,District Number,School Number,School Name,Demographic Description,Ending Status,Four Year Percent,Four Year Total,Physical Line 1,Physical City,Physical State,Physical Zip,Latitude,Longitude
249,282,20,ST. ANTHONY VILLAGE SENIOR HIGH,All Students,Graduate,96.67,180.0,3303 33rd Ave NE,Saint Anthony,MN,55418-9971,45.029112,-93.2146733
250,283,40,ST. LOUIS PARK SENIOR HIGH,All Students,Graduate,91.97,361.0,6425 W 33rd St,Saint Louis Park,MN,55426-3498,44.9432385,-93.3614068
251,284,49,THE ALTERNATIVE PROGRAM (TAP),All Students,Graduate,94.87,39.0,4955 Peony Ln,Plymouth,MN,55446,45.0449116,-93.5107651
252,284,50,WAYZATA HIGH,All Students,Graduate,97.36,796.0,4955 Peony Ln N,Plymouth,MN,55446-1606,45.0449116,-93.5107651
256,286,12,BROOKLYN CENTER HIGH SCHOOL,All Students,Graduate,85.71,112.0,6500 Humboldt Ave N,Brooklyn Center,MN,55430,45.0746672,-93.2970582
257,286,221,INSIGHT SCHOOL OF MINNESOTA,All Students,Graduate,35.96,114.0,6120 Earle Brown Drive Ste #200,Brooklyn Center,MN,55430,45.0671503,-93.3017935
258,286,763,BROOKLYN CENTER EARLY COLLEGE ACADEMY,All Students,Graduate,62.07,29.0,5910 Shingle Creek Parkway,Brooklyn Center,MN,55430-1897,45.0627108,-93.31162479999999
259,287,428,INVEST HIGH SCHOOL,All Students,Graduate,0.0,10.0,1820 Xenium Ln N,Plymouth,MN,55441,44.9997748,-93.45052629999999
263,287,445,WEST HIGH SCHOOL,All Students,Graduate,0.0,10.0,11140 Bren Rd W,Minnetonka,MN,55343,44.901058,-93.421336
268,287,531,PRAIRIE CARE BROOKLYN PARK - IHP,All Students,Graduate,0.0,18.0,9400 ZANE AVE ,Brooklyn Park,MN,55443,45.1253107,-93.3546619
269,287,532,PRAIRIE CARE EDINA - PHP,All Students,Graduate,0.0,10.0,6545 France Ave So Ste 302,Edina,MN,55435,44.8848774,-93.32784509999999
270,287,603,ALC EDEN PRAIRIE HS-IS,All Students,Graduate,100.0,11.0,17185 Valley View Rd,Eden Prairie,MN,55346,44.8719426,-93.4930929
271,287,622,SOUTH EDUCATION CENTER ACADEMY,All Students,Graduate,18.87,53.0,7450 Penn Ave S,Richfield,MN,55423,44.8680899,-93.30865759999999
273,287,754,277 WESTONKA AREA LEARNING ACADEMY,All Students,Graduate,0.0,11.0,5901 Sunnyfield Rd E,Minnetrista,MN,55364,44.9552374,-93.6700403
274,287,766,NSO - INDEPENDENT STUDY,All Students,Graduate,6.25,16.0,1820 Xenium Ln N,Plymouth,MN,55441,44.9997748,-93.45052629999999
275,287,772,NORTH EDUCATION CENTER ACADEMY,All Students,Graduate,18.18,44.0,5530 Zealand Ave N,New Hope,MN,55428,45.0537869,-93.3868487
276,287,800,WEST EDUCATION CENTER ALTERNATIVE,All Students,Graduate,27.27,44.0,11140 Bren Rd W,Minnetonka,MN,55343,44.901058,-93.421336
277,287,801,HENNEPIN GATEWAY TO COLLEGE,All Students,Graduate,12.82,39.0,9000 Brooklyn Blvd,Brooklyn Park,MN,55445,45.09602280000001,-93.3968136
279,288,12,SW METRO LEVEL 4 PROGRAMS,All Students,Graduate,57.89,19.0,792 Canterbury Rd S Ste 211,Shakope,MN,55379-1825,44.7925764,-93.47196629999999
281,294,7,SUMMIT LEARNING PROGRAM,All Students,Graduate,100.0,16.0,306 W Elm St,Houston,MN,55943,43.7593596,-91.5722582
282,294,12,MINNESOTA VIRTUAL ACADEMY,All Students,Graduate,50.42,236.0,306 W Elm St,Houston,MN,55943-0363,43.7593596,-91.5722582
283,294,20,HOUSTON SECONDARY,All Students,Graduate,100.0,30.0,306 W Elm St,Houston,MN,55943,43.7593596,-91.5722582
284,297,20,SPRING GROVE SECONDARY,All Students,Graduate,100.0,25.0,113 2nd Ave NW,Spring Grove,MN,55974-0626,43.5607407,-91.6413871
285,299,32,CALEDONIA SENIOR HIGH,All Students,Graduate,100.0,54.0,825 N Warrior Ave,Caledonia,MN,55921,43.6404263,-91.5095053
286,300,20,LA CRESCENT SENIOR HIGH,All Students,Graduate,100.0,90.0,1301 Lancer Blvd,La Crescent,MN,55947-1699,43.8157561,-91.3130355
287,306,20,LAPORTE SECONDARY,All Students,Graduate,70.59,17.0,315 Main St W,Laporte,MN,56461-9522,47.2120184,-94.7566133
288,308,20,NEVIS SECONDARY,All Students,Graduate,82.0,50.0,210 Pleasant St,Nevis,MN,56467-0138,46.9662357,-94.8441005
289,309,60,PARK RAPIDS SENIOR HIGH,All Students,Graduate,82.83,99.0,401 Huntsinger Ave,Park Rapids,MN,56470,46.92596529999999,-95.06495679999999
290,309,90,HEADWATERS EDUC LEARNING PROGRAM,All Students,Graduate,21.05,19.0,401 Huntsinger Ave,Park Rapids,MN,56470,46.92596529999999,-95.06495679999999
291,314,1,BRAHAM AREA SECONDARY,All Students,Graduate,90.57,53.0,531 Elmhurst Ave S,Braham,MN,55006-3105,45.720038,-93.17877
292,316,310,GREENWAY SENIOR HIGH,All Students,Graduate,98.41,63.0,308 Roosevelt Ave,Coleraine,MN,55722-0520,47.2882336,-93.4257576
293,317,1,DEER RIVER SECONDARY,All Students,Graduate,81.25,48.0,101 1st Ave NE,Deer River,MN,56636-0307,47.3342562,-93.7917552
294,318,350,BIGFORK SECONDARY,All Students,Graduate,95.0,20.0,100 Huskie Blvd,Bigfork,MN,56628-9998,47.74509279999999,-93.6503242
295,318,360,GRAND RAPIDS SENIOR HIGH,All Students,Graduate,96.14,233.0,800 Conifer Dr NW,Grand Rapids,MN,55744-2458,47.247102,-93.5421674
298,318,365,GRAND RAPIDS AREA LEARNING CENTER,All Students,Graduate,74.39,82.0,409 SE 13th St,Grand Rapids,MN,55744-4257,47.2178556,-93.5226858
299,319,50,NASHWAUK SECONDARY,All Students,Graduate,85.0,40.0,400 2nd St,Nashwauk,MN,55769,47.3760819,-93.16637469999999
300,330,30,HERON LAKE-OKABENA SECONDARY,All Students,Graduate,84.21,38.0,124 N Minnesota Ave,Okabena,MN,56161-4000,43.7392043,-95.3176575
301,332,40,MORA SECONDARY,All Students,Graduate,96.91,97.0,400 Maple Ave E,Mora,MN,55051-1387,45.8788074,-93.2923814
302,332,50,MORA ALTERNATIVE LEARNING CENTER,All Students,Graduate,45.0,20.0,400 Maple Ave E,Mora,MN,55051-1387,45.8788074,-93.2923814
303,333,20,OGILVIE SECONDARY,All Students,Graduate,95.0,20.0,333 School Dr,Ogilvie,MN,56358-0160,45.8265961,-93.43154349999999
304,345,30,NEW LONDON-SPICER SR.,All Students,Graduate,95.83,96.0,101 4th Ave SW,New London,MN,56273,45.2955593,-94.9428818
305,347,300,WILLMAR SENIOR HIGH,All Students,Graduate,80.14,282.0,2701 30th St NE,Willmar,MN,56201-3499,45.1517598,-95.0049866
306,347,931,PRAIRIE LAKES EDUCATION CENTER,All Students,Graduate,14.81,27.0,1804 Civic Center Dr,Willmar,MN,56201-9446,45.1420295,-95.0081336
307,347,949,WILLMAR AREA LEARNING CENTER,All Students,Graduate,26.53,49.0,512 8th St SW,Willmar,MN,56201-3197,45.11798,-95.05357819999999
308,356,20,LANCASTER SECONDARY,All Students,Graduate,93.75,16.0,401 Central Ave S,Lancaster,MN,56735-3602,48.85582609999999,-96.80285909999999
309,361,1,FALLS SECONDARY,All Students,Graduate,90.2,102.0,1515 11th St,International Falls,MN,56649-2488,48.5927662,-93.4282599
310,362,30,LITTLEFORK-BIG FALLS SECONDARY,All Students,Graduate,95.83,24.0,700 Main St,Littlefork,MN,56653-0533,48.3993864,-93.5523815
311,363,60,INDUS SECONDARY,All Students,Graduate,80.0,10.0,8560 Hwy 11,Birchdale,MN,56629,48.630559,-93.903196
313,378,20,DAWSON-BOYD SECONDARY,All Students,Graduate,97.22,36.0,848 Chestnut St,Dawson,MN,56232-2224,44.930487,-96.058442
314,381,90,WM. M. KELLEY SECONDARY,All Students,Graduate,96.67,30.0,137 Banks Blvd,Silver Bay,MN,55614,47.2910939,-91.274642
315,381,200,TWO HARBORS SECONDARY,All Students,Graduate,95.95,74.0,1640 Hwy 2 Ste 100,Two Harbors,MN,55616,47.0496488,-91.66515539999999
316,390,222,LAKE OF THE WOODS SECONDARY,All Students,Graduate,91.43,35.0,236 15th Ave SW,Baudette,MN,56623-0310,48.7105928,-94.64070180000002
317,391,20,CLEVELAND SECONDARY,All Students,Graduate,94.74,38.0,400 6th St,Cleveland,MN,56017-0310,44.3230406,-93.83539499999999
319,413,1,MARSHALL HIGH SCHOOL,All Students,Graduate,80.66,212.0,400 Tiger Dr,Marshall,MN,56258-1799,44.4566406,-95.75187059999999
320,413,8,MATEC,All Students,Graduate,46.43,28.0,305 South Second Street,Marshall,MN,56258,44.4430584,-95.7937256
322,414,2,MINNEOTA SECONDARY,All Students,Graduate,95.24,42.0,504 N Monroe St,Minneota,MN,56264-0098,44.5634754,-95.98077909999999
323,423,30,HUTCHINSON SENIOR HIGH,All Students,Graduate,86.67,225.0,1200 Roberts Rd,Hutchinson,MN,55350-2198,44.8829585,-94.3934594
324,424,20,LESTER PRAIRIE SECONDARY,All Students,Graduate,91.18,34.0,131 Hickory St N,Lester Prairie,MN,55354,44.8876036,-94.0436246
326,432,20,MAHNOMEN SECONDARY,All Students,Graduate,75.0,32.0,209 1st St W,Mahnomen,MN,56557-0319,47.3140016,-95.96971169999999
327,432,40,MAHNOMEN AREA LEARNING CENTER,All Students,Graduate,4.76,21.0,209 1st St SW,Mahnomen,MN,56557-0319,47.3140016,-95.96971169999999
328,435,30,WAUBUN SECONDARY,All Students,Graduate,89.66,29.0,1013 3rd St,Waubun,MN,56589-0098,47.1809818,-95.9397034
329,441,20,MARSHALL COUNTY CENTRAL HIGH,All Students,Graduate,93.75,32.0,310 Minnesota Ave W,Newfolden,MN,56738-0189,48.3582931,-96.33248689999999
330,447,3,GRYGLA SECONDARY,All Students,Graduate,92.31,13.0,114 N Fladland Ave,Grygla,MN,56727-0018,48.2999953,-95.6204734
331,458,20,TRUMAN SECONDARY,All Students,Graduate,95.0,20.0,401 E 1st St S,Truman,MN,56088-0276,43.82668719999999,-94.43160490000001
332,463,20,EDEN VALLEY SECONDARY,All Students,Graduate,97.4,77.0,298 Brooks St N,Eden Valley,MN,55329-0100,45.3250397,-94.5448438
333,465,40,LITCHFIELD SENIOR HIGH,All Students,Graduate,90.0,90.0,901 N Gilman Ave,Litchfield,MN,55355,45.1359456,-94.5201057
335,466,2,DASSEL-COKATO SENIOR HIGH,All Students,Graduate,91.52,165.0,4852 Reardon Ave SW Ste 1600,Cokato,MN,55321-1700,45.082302,-94.23378699999999
336,466,6,DASSEL-COKATO ALTERNATIVE CTR.,All Students,Graduate,65.38,26.0,290 E Cokato St,Cokato,MN,55321,45.0795124,-94.18680049999999
337,473,20,ISLE SECONDARY,All Students,Graduate,87.18,39.0,730 5th Ave S,Isle,MN,56342-4590,46.1335382,-93.4720121
338,473,40,ISLE AREA LEARNING CENTER,All Students,Graduate,20.0,10.0,730 5th Ave S,Isle,MN,56342-4590,46.1335382,-93.4720121
339,477,30,PRINCETON HIGH SCHOOL,All Students,Graduate,83.26,233.0,807 S 8th Ave,Princeton,MN,55371,45.559799,-93.58539999999999
340,477,80,PRINCETON ONLINE ACADEMY,All Students,Graduate,83.33,18.0,706 1st Street,Princeton,MN,55371,45.5703093,-93.58369979999999
341,477,100,PRINCETON AREA LEARNING CENTER,All Students,Graduate,46.15,13.0,1506 1st St,Princeton,MN,55371,45.5703841,-93.5969317
342,480,20,ONAMIA HIGH SCHOOL,All Students,Graduate,86.96,23.0,35465 125th Ave,Onamia,MN,56359-2807,46.0602762,-93.6740354
345,480,35,KOKESH AREA LEARNING CENTER,All Students,Graduate,7.69,13.0,807 West Main St.,Onamia,MN,56359-2807,46.0703964,-93.6714173
346,482,300,LITTLE FALLS SENIOR HIGH,All Students,Graduate,97.6,167.0,1001 SE 5th Ave,Little Falls,MN,56345-3398,45.9712824,-94.3477051
347,482,400,LITTLE FALLS CONTINUING EDUCATION,All Students,Graduate,53.33,45.0,116 8th Ave SE,Little Falls,MN,56345-3398,45.965697,-94.362777
348,484,30,HEALY SECONDARY,All Students,Graduate,92.13,89.0,112 Kamnic St,Pierz,MN,56364,45.97905069999999,-94.0967374
349,485,20,ROYALTON HIGH SCHOOL,All Students,Graduate,90.91,55.0,120 S Hawthorn St,Royalton,MN,56373,45.8323885,-94.29086269999999
350,486,20,SWANVILLE SECONDARY,All Students,Graduate,90.0,20.0,602 Degraf St,Swanville,MN,56382,45.9109024,-94.64109760000001
351,487,20,UPSALA SECONDARY,All Students,Graduate,95.0,20.0,415 S Main St,Upsala,MN,56384,45.8035247,-94.5693881
353,492,150,AUSTIN AREA LEARNING CENTER,All Students,Graduate,25.0,16.0,301 3rd St NW,Austin,MN,55912-3196,43.6671479,-92.9790306
354,492,200,AUSTIN SENIOR HIGH,All Students,Graduate,78.69,352.0,301 3rd St NW,Austin,MN,55912-3196,43.6671479,-92.9790306
355,495,30,GRAND MEADOW SENIOR HIGH,All Students,Graduate,96.55,29.0,710 4th Ave NE,Grand Meadow,MN,55936-0068,43.7094755,-92.5624307
356,497,20,LYLE SECONDARY,All Students,Graduate,90.0,20.0,700 E 2nd St,Lyle,MN,55953-0359,43.5092835,-92.9440633
357,499,30,LEROY SECONDARY,All Students,Graduate,100.0,18.0,406 W Main St,LeRoy,MN,55951,43.5133328,-92.5098141
358,500,40,SOUTHLAND SENIOR HIGH,All Students,Graduate,97.92,48.0,203 2nd St NW,Adams,MN,55909,43.5678787,-92.7160404
359,505,20,FULDA SECONDARY,All Students,Graduate,90.0,30.0,410 College Ave,Fulda,MN,56131-9439,43.8744296,-95.6056298
360,507,20,NICOLLET SENIOR HIGH SCHOOL,All Students,Graduate,95.65,23.0,1 Pine St,Nicollet,MN,56074-2075,44.2814795,-94.1866859
361,508,40,ST. PETER HIGH SCHOOL,All Students,Graduate,95.3,149.0,2121 West Broadway Avenue,Saint Peter,MN,56082-1332,44.32632599999999,-93.9848061
362,511,20,ADRIAN SECONDARY,All Students,Graduate,94.87,39.0,415 Kentucky Ave,Adrian,MN,56110-1151,43.6325403,-95.93635820000002
364,518,6,WORTHINGTON AREA LEARNING CENTER,All Students,Graduate,44.68,47.0,117 11th Ave,Worthington,MN,56187-1555,43.6190694,-95.5939743
365,518,8,WORTHINGTON SENIOR HIGH,All Students,Graduate,85.94,192.0,1211 Clary St,Worthington,MN,56187-2099,43.62762559999999,-95.59704889999999
366,518,20,WORTHINGTON 518 (VIRTUAL INSTRUCTION BY EXCELLENCE),All Students,Graduate,30.0,10.0,117 11th Avenue Ste 2,Worthington,MN,56187,43.6265435,-95.61277779999999
367,531,20,BYRON SENIOR HIGH SCHOOL,All Students,Graduate,96.48,142.0,1887 2nd Ave NW,Byron,MN,55920-1308,44.0522211,-92.65111379999999
369,533,30,DOVER-EYOTA HIGH SCHOOL,All Students,Graduate,94.59,74.0,615 S Ave SW,Eyota,MN,55934-2916,43.9902778,-92.2305556
370,534,30,STEWARTVILLE SENIOR HIGH,All Students,Graduate,88.15,135.0,440 6th Ave SW,Stewartville,MN,55976-1426,43.8522901,-92.49396109999999
372,535,305,CENTURY SENIOR HIGH,All Students,Graduate,92.54,362.0,2525 Viola Rd NE,Rochester,MN,55906,44.0500221,-92.42504029999999
373,535,306,ROCHESTER ALTERNATIVE LEARNING CTR,All Students,Graduate,61.05,190.0,37 Woodlake Dr SE,Rochester,MN,55904,43.9728774,-92.461419
374,535,310,JOHN MARSHALL SENIOR HIGH,All Students,Graduate,91.48,364.0,1510 14th St NW,Rochester,MN,55901,44.0344963,-92.4837548
375,535,311,ALC SUMMER CREDIT RECOVERY,All Students,Graduate,76.92,13.0,2220 3rd Ave SE,Rochester,MN,55904,43.9884683,-92.4605758
376,535,315,MAYO SENIOR HIGH,All Students,Graduate,91.89,370.0,1420 11th Ave SE,Rochester,MN,55904,44.00305910000001,-92.4465932
379,542,20,BATTLE LAKE SECONDARY,All Students,Graduate,87.88,33.0,402 Summit St W,Battle Lake,MN,56515-4029,46.283394,-95.7198557
380,544,340,IQ ACADEMY MINNESOTA,All Students,Graduate,44.93,69.0,340 Friberg Ave,Fergus Falls,MN,56537-1669,46.2879339,-96.06764969999999
381,544,370,FERGUS FALLS AREA LEARNING CENTER,All Students,Graduate,19.05,42.0,340 Friberg Ave,Fergus Falls,MN,56537-1669,46.2879339,-96.06764969999999
382,544,390,KENNEDY HIGH SCHOOL,All Students,Graduate,95.07,142.0,601 Randolph Ave,Fergus Falls,MN,56537-1669,46.29027670000001,-96.0645612
383,545,20,HENNING SECONDARY,All Students,Graduate,96.55,29.0,500 School Ave,Henning,MN,56551,46.3195419,-95.44749929999999
384,547,20,PARKERS PRAIRIE SECONDARY,All Students,Graduate,97.5,40.0,411 S Otter Ave,Parkers Prairie,MN,56361-0046,46.1496796,-95.3283015
385,548,20,PELICAN RAPIDS SECONDARY,All Students,Graduate,91.78,73.0,310 S Broadway,Pelican Rapids,MN,56572-0642,46.5658121,-96.08434899999999
386,549,30,PERHAM SENIOR HIGH,All Students,Graduate,83.51,97.0,800 Coney Street West,Perham,MN,56573-1797,46.5888318,-95.59072979999999
387,549,80,PERHAM AREA LEARNING CENTER,All Students,Graduate,43.75,16.0,520 1st Ave S,Perham,MN,56573-1797,46.590874,-95.5769385
388,550,20,UNDERWOOD SECONDARY,All Students,Graduate,88.89,27.0,100 Southern Ave E,Underwood,MN,56586,46.2817506,-95.8710741
389,553,20,NEW YORK MILLS SECONDARY,All Students,Graduate,97.73,44.0,209 Hayes St,New York Mills,MN,56567-0218,46.5224414,-95.37856149999999
391,564,70,LINCOLN SENIOR HIGH,All Students,Graduate,95.49,133.0,101 Knight Ave S,Thief River Falls,MN,56701-2813,48.1163866,-96.1843207
392,564,75,NORTHWEST AREA LEARNING CENTER,All Students,Graduate,70.0,20.0,230 Labree Ave S,Thief River Falls,MN,56701-2832,48.114595,-96.180582
393,577,40,WILLOW RIVER SECONDARY,All Students,Graduate,96.88,32.0,8142 Pine St,Willow River,MN,55795-0066,46.3202633,-92.836531
394,578,20,PINE CITY SECONDARY,All Students,Graduate,97.25,109.0,1400 Main St S,Pine City,MN,55063-2064,45.8104416,-92.96840689999999
395,578,692,PINE CITY AREA LEARNING CENTER,All Students,Graduate,73.33,15.0,1225 Main St S,Pine City,MN,55063-2198,45.8127261,-92.9718649
396,581,10,EDGERTON SECONDARY,All Students,Graduate,88.46,26.0,423 1st Ave W,Edgerton,MN,56128,43.8767167,-96.1305024
397,592,20,CLIMAX SECONDARY,All Students,Graduate,81.25,16.0,111 E Broadway,Climax,MN,56523,47.6077938,-96.8131137
398,593,20,NEW PATHS AREA LEARNING CENTER,All Students,Graduate,25.0,12.0,116 West Robert St,Crookston,MN,56716-2099,47.7741692,-96.60756359999999
399,593,90,CROOKSTON SECONDARY,All Students,Graduate,86.46,96.0,402 Fisher Ave,Crookston,MN,56716-2811,47.79053039999999,-96.6023882
400,595,320,EAST GRAND FORKS SENIOR HIGH,All Students,Graduate,91.11,135.0,1420 4th Ave NW,East Grand Forks,MN,56721-0151,47.9395041,-97.0232276
401,599,20,FERTILE-BELTRAMI SECONDARY,All Students,Graduate,96.3,27.0,210 S Mill St,Fertile,MN,56540-0648,47.5324861,-96.2818497
402,600,2,FISHER SECONDARY,All Students,Graduate,100.0,16.0,313 Park Ave,Fisher,MN,56723,47.7975937,-96.797197
403,601,20,FOSSTON SECONDARY,All Students,Graduate,98.31,59.0,301 E 1st St,Fosston,MN,56542,47.5753277,-95.7487709
404,621,58,HIGH SCHOOL SUMMER PROGRAM,All Students,Graduate,80.0,10.0,4570 Victoria St. N.,Shoreview,MN,55126-5800,45.080406,-93.13454929999999
408,621,64,MOUNDS VIEW SENIOR HIGH,All Students,Graduate,95.32,449.0,1900 Lake Valentine Rd,Arden Hills,MN,55112-2841,45.0639254,-93.1809796
409,621,65,IRONDALE SENIOR HIGH,All Students,Graduate,93.79,354.0,2425 Long Lake Rd,New Brighton,MN,55112-5267,45.0902022,-93.2072567
412,622,41,HARMONY LEARNING CENTER,All Students,Graduate,20.0,10.0,1961 E County Road C,Maplewood,MN,55109,45.021273,-93.0174907
414,622,57,NORTH SENIOR HIGH,All Students,Graduate,83.67,441.0,2416 E 11th Ave,North Saint Paul,MN,55109,45.0148457,-92.9983596
415,622,58,TARTAN SENIOR HIGH,All Students,Graduate,87.75,351.0,828 Greenway Ave N,Oakdale,MN,55128,44.9605007,-92.9722184
416,623,69,ROSEVILLE AREA SENIOR HIGH,All Students,Graduate,92.56,524.0,1240 County Road B2 W,Roseville,MN,55113-4396,45.0127953,-93.1521097
418,623,615,FAIRVIEW ALTERNATIVE HIGH SCHOOL,All Students,Graduate,36.96,46.0,1910 County Road B West,Roseville,MN,55113,45.0049815,-93.1801093
420,624,95,WHITE BEAR SOUTH CAMPUS SENIOR,All Students,Graduate,94.87,507.0,3551 McKnight Rd,White Bear Lake,MN,55110-5575,45.0486726,-93.0092552
421,624,837,WHITE BEAR AREA LEARNING CENTER,All Students,Graduate,53.95,76.0,2449 Orchard Ln,White Bear Lake,MN,55110-7509,45.04422950000001,-92.9991603
423,624,840,AREA LEARNING CENTER SUMMER,All Students,Graduate,91.67,12.0,2449 Orchard Ln,White Bear Lake,MN,55110,45.04422950000001,-92.9991603
424,625,6,A. G. A. P. E. TEEN PARENT,All Students,Graduate,67.86,28.0,1037 University Ave,Saint Paul,MN,55104-4788,44.9560593,-93.1435396
425,625,211,CREATIVE ARTS SECONDARY SCHOOL,All Students,Graduate,79.31,29.0,65 Kellogg Blvd E,Saint Paul,MN,55101-1115,44.9451284,-93.0909188
426,625,212,COMO PARK SENIOR HIGH,All Students,Graduate,73.91,276.0,740 Rose Ave W,Saint Paul,MN,55117-4098,44.9759981,-93.13124619999999
427,625,215,HARDING SENIOR HIGH,All Students,Graduate,77.65,425.0,1540 6th St E,Saint Paul,MN,55106-4898,44.9594689,-93.0360568
428,625,220,HIGHLAND PARK SENIOR HIGH,All Students,Graduate,90.94,276.0,1015 Snelling Ave S,Saint Paul,MN,55116-2497,44.909962,-93.16839619999999
429,625,225,HUMBOLDT HIGH SCHOOL,All Students,Graduate,72.29,166.0,30 Baker St E,Saint Paul,MN,55107-2997,44.9259731,-93.0840766
430,625,230,JOHNSON SENIOR HIGH,All Students,Graduate,83.4,253.0,1349 Arcade St,Saint Paul,MN,55106-1899,44.98136179999999,-93.06727629999999
431,625,250,OPEN WORLD LEARNING SECONDARY,All Students,Graduate,86.96,46.0,640 Humboldt Avenue,Saint Paul,MN,55107-2967,44.9266188,-93.0844681
432,625,252,WASHINGTON TECH SECONDARY MAGNET,All Students,Graduate,83.71,264.0,1495 Rice St,Saint Paul,MN,55117-3864,44.9870367,-93.11137169999999
433,625,430,BRIDGE VIEW SPECIAL EDUCATION,All Students,Graduate,0.0,10.0,350 Colborne St,Saint Paul,MN,55102-3299,44.9310579,-93.11887469999999
435,625,695,JOURNEYS SECONDARY SCHOOL,All Students,Graduate,11.76,34.0,90 Western Ave,Saint Paul,MN,55102-2995,44.9392129,-93.11469989999999
436,625,710,GORDON PARKS HIGH SCHOOL,All Students,Graduate,50.59,170.0,1212 University Ave,Saint Paul,MN,55104-1939,44.9554109,-93.15122260000001
437,625,712,ALC SECONDARY EXTENDED PROGRAMS,All Students,Graduate,94.19,86.0,1780 7th St W,Saint Paul,MN,55116-2347,44.913275,-93.1472515
438,625,718,ALC GATEWAY TO COLLEGE,All Students,Graduate,44.93,69.0,235 Marshall Avenue,Saint Paul,MN,55102,44.9492038,-93.1114276
439,625,723,LEAP HIGH SCHOOL,All Students,Graduate,14.14,99.0,631 Albert St N,Saint Paul,MN,55104-1948,44.96070599999999,-93.1600074
440,625,841,GUADALUPE ALTERNATIVE PROGRAMS,All Students,Graduate,54.17,24.0,381 Robie St E,Saint Paul,MN,55107-2415,44.9283392,-93.06928099999999
441,630,20,LAFAYETTE SECONDARY,All Students,Graduate,90.32,31.0,404 Champagne Ave,Red Lake Falls,MN,56750-0399,47.879722,-96.2769005
442,640,20,WABASSO SECONDARY,All Students,Graduate,97.06,34.0,1333 May St,Wabasso,MN,56293-0069,44.40542,-95.25560920000001
443,656,80,FARIBAULT SENIOR HIGH,All Students,Graduate,77.97,286.0,330 9th Ave SW,Faribault,MN,55021-5900,44.2861686,-93.2849289
446,656,81,FARIBAULT AREA LEARNING CENTER,All Students,Graduate,20.34,59.0,2855 1st Ave NW,Faribault,MN,55021-0618,44.32053699999999,-93.269554
447,659,1,NORTHFIELD SENIOR HIGH,All Students,Graduate,96.07,280.0,1400 Division St S,Northfield,MN,55057-2799,44.44407169999999,-93.1634054
448,659,85,NORTHFIELD AREA LEARNING CENTER,All Students,Graduate,62.5,40.0,201 Orchard St S,Northfield,MN,55057-1663,44.4581463,-93.16910209999999
449,671,20,HILLS-BEAVER CREEK SECONDARY,All Students,Graduate,96.55,29.0,301 N Summit Ave,Hills,MN,56138-0547,43.5321668,-96.3636137
450,676,20,BADGER SECONDARY,All Students,Graduate,88.89,18.0,110 Carpenter Ave,Badger,MN,56714-4148,48.7812142,-96.01580899999999
451,682,20,ROSEAU SECONDARY,All Students,Graduate,98.89,90.0,509 3rd St NE,Roseau,MN,56751-1199,48.8497783,-95.7557027
452,690,30,WARROAD HIGH SCHOOL,All Students,Graduate,86.08,79.0,510 Cedar Ave,Warroad,MN,56763-2708,48.9112862,-95.329622
453,695,302,CHISHOLM SECONDARY,All Students,Graduate,83.78,37.0,301 4th St SW,Chisholm,MN,55719-1900,47.4853776,-92.88384649999999
454,696,3,MEMORIAL HIGH SCHOOL,All Students,Graduate,95.45,44.0,600 E Harvey St,Ely,MN,55731-1614,47.9002308,-91.8588015
455,698,20,FLOODWOOD SECONDARY,All Students,Graduate,90.48,21.0,115 W 4th Ave,Floodwood,MN,55736-4523,46.9302686,-92.9161405
456,700,20,HERMANTOWN SENIOR HIGH,All Students,Graduate,96.67,150.0,4335 Hawk Circle Dr,Hermantown,MN,55811-3648,46.8256212,-92.2432139
457,701,350,HIBBING HIGH,All Students,Graduate,89.68,155.0,800 E 21st St,Hibbing,MN,55746-1803,47.425261,-92.9324851
458,701,360,MESABI AREA LEARNING CENTER,All Students,Graduate,63.64,11.0,800 E 21st St,Hibbing,MN,55746-1803,47.425261,-92.9324851
459,704,1,PROCTOR SENIOR HIGH,All Students,Graduate,91.27,126.0,131 9th Ave,Proctor,MN,55810-2797,46.7438925,-92.23664439999999
460,706,90,VIRGINIA SECONDARY,All Students,Graduate,95.56,90.0,411 5th Ave S,Virginia,MN,55792-2734,47.5204507,-92.53946789999999
461,709,215,DENFELD HIGH SCHOOL,All Students,Graduate,73.73,217.0,401 N 44th Ave W,Duluth,MN,55807-1494,46.748551,-92.15917499999999
462,709,220,EAST HIGH SCHOOL,All Students,Graduate,93.72,382.0,301 N 40th Ave E,Duluth,MN,55804,46.8251166,-92.0431902
463,709,580,ROCKRIDGE ACADEMY,All Students,Graduate,39.29,28.0,4849 Ivanhoe St,Duluth,MN,55804-1131,46.8466673,-92.0273015
464,709,605,ARROWHEAD ACADEMY,All Students,Graduate,5.26,19.0,1918 Arlington Ave N,Duluth,MN,55811,46.8191976,-92.1272363
465,709,611,DULUTH AREA LEARNING CENTER,All Students,Graduate,43.17,139.0,215 N 1st Ave E,Duluth,MN,55802-2013,46.78895319999999,-92.1000733
466,709,630,SUPERIOR ACADEMY,All Students,Graduate,0.0,24.0,4849 Ivanhoe St,Duluth,MN,55804-1131,46.8466673,-92.0273015
469,709,650,ACADEMIC EXCELLENCE ONLINE,All Students,Graduate,71.43,14.0,215 N First Avenue East,Duluth,MN,55802,46.78895319999999,-92.1000733
