,Latitude,Longitude,Company,Facility,Facility ID,Address,City,County,State,Zip
372,45.0448,-94.1105,,CTS CORP CONNECTOR DIV,55321CTSCR400CO,400 COKATO ST,COKATO,WRIGHT,MN,55321
373,45.0547,-94.2438,,POLLOCK MANUFACTURING INC,55324PLLCK26192,26192 660TH AVE,DARWIN,MEEKER,MN,55324
374,45.0438,-94.1837,,NORTRONICS CO INC,55325NRTHR145SO,145 S 3RD ST PO BOX 386,DASSEL,MEEKER,MN,553250386
381,45.1902,-93.3517,EMERSON ELECTRIC CO,TESCOM,55330TSCMC12616,12616 IND US TRIAL BLVD,ELK RIVER,SHERBURNE,MN,55330
382,44.3314,-94.12,MICHAEL FOODS INC,M G WALDBAUM,55334MGWLDHWY51,120 TOWER ST S,GAYLORD,SIBLEY,MN,55334
383,44.4609,-94.0921,ARCHER DANIELS MIDLAND CO,ADM ANIMAL NUTRITION,55336CNSLD1011E,1011 ELLIOTT AVE,GLENCOE,MCLEOD,MN,55336
384,44.463,-94.1044,,MILLER MANUFACTURING CO,55336NRCTR14001,1400 13TH ST W,GLENCOE,MCLEOD,MN,55336
385,44.4603,-94.0902,,ASSOCIATED MILK PRODUCERS INC,55336SSCTD818E9,818 E 9TH ST,GLENCOE,MCLEOD,MN,55336
386,44.4619,-94.0941,SENECA FOODS CORP,SENECA FOODS,55336THPLL101W8,101 W 8TH ST -,GLENCOE,MCLEOD,MN,55336
388,44.4805,-93.1707,XCEL ENERGY,XCEL ENERGY BLACK DOG GENERATING PLANT,55337BLCKD1400E,1400 E BLACK DOG RD,BURNSVILLE,DAKOTA,MN,55337
390,44.4726,-93.1524,,BOTTLING GROUP LLC D/B/A PEPSI BEVERAGES CO,55337PPSCL1300E,11601 12TH AVE S,BURNSVILLE,DAKOTA,MN,55337
391,44.4437,-93.184,UNITED TECHNOLOGIES CORP,ROSEMOUNT AEROSPACE INC,55337RSMNT14300,14300 JUDICIAL RD,BURNSVILLE,DAKOTA,MN,55306
394,45.0302,-93.3224,,ALPANA ALUMINUM PRODS,55340LPNLM3800C,3800 C R 116,HAMEL,HENNEPIN,MN,55340
395,45.0333,-93.3535,,QX INC,55340QXNCX2705W,2705 W HWY 55,HAMEL,HENNEPIN,MN,55340
396,45.0345,-93.354,,TEMROC METALS INC,55340TMRCM4375W,4375 WILLOW DR,HAMEL,HENNEPIN,MN,55340
397,44.3749,-94.4354,,SCHWEISS DISTRIBUTING INC,55342SCHWS72121,72121 470TH ST,HECTOR,RENVILLE,MN,55342
398,45.2512,-93.251,,CROWN FIXTURES INC,55343CRWNF62012,620 12TH AVE SOUTH,HOPKINS,HENNEPIN,MN,55343
399,44.5537,-93.2326,,EDCO PRODUCTS INC,55343DCPRD845EX,8700 EXCELSIOR BLVD,HOPKINS,HENNEPIN,MN,55343
400,44.5455,-93.0253,,HONEYWELL ADVANCED CIRCUITS INC,55343DVNCC56016,560 16TH AVE S,HOPKINS,HENNEPIN,MN,55343
401,44.561,-93.2415,,ADVANCED FLEX INC PLANT 3,55343FNCXX5400O,5400 OPPORTUNITY CT,MINNETONKA,HENNEPIN,MN,55343
402,44.5405,-93.2502,,HOLADAY CIRCUITS INC,55343HLDYC11126,11126 BREN RD W,MINNETONKA,HENNEPIN,MN,55343
403,44.5537,-93.2333,,ALLIANT TECHSYSTEMS INC HOPKINS FACILITY,55343HNYWL600SE,600 2ND ST NE,HOPKINS,HENNEPIN,MN,553438384
404,44.5451,-93.2455,,KANGAS ENAMELING,55343KNGSN60912,609 12TH AVE S,HOPKINS,HENNEPIN,MN,55343
405,44.55,-93.2514,,MACTAC ENGINEERED PRODUCTS,55343MCTCN53515,535 15TH AVE S,HOPKINS,HENNEPIN,MN,55343
406,44.33,-93.1648,,AMERICAN MEDICAL SYSTEMS,55343MRCNM10700,10700 BREN RD W,MINNETONKA,HENNEPIN,MN,55343
407,44.33,-93.1648,,AMERICAN MEDICAL SYSTEMS INC,55343MRCNM11001,11001 BREN RD E,MINNETONKA,HENNEPIN,MN,55343
408,44.5453,-93.2536,,METRO MARK INC,55343MTRMR11574,11574 ENCORE CIRCLE,MINNETONKA,HENNEPIN,MN,55343
